Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS,,,,,,,,,,,,,,
45,5209578467,klskate79,340,180.5,G Hideki Matsuyama G Tom Kim G Maverick McNealy G Keith Mitchell G Sahith Theegala G Ricky Castillo,,Eric Cole,G,2.56%,21.5,,,,,,,,,,,,,,
45,5209671326,gillian_smith0286,334,180.5,G Cameron Young G Tom Kim G Mac Meissner G Blades Brown G Jordan L. Smith G Beau Hossler,,Chandler Phillips,G,2.39%,12.5,,,,,,,,,,,,,,
45,5209180321,aallen752000,330,180.5,G Tom Kim G Aaron Rai G Alex Fitzpatrick G Michael Brennan G Sahith Theegala G Jackson Suber,,Davis Chatfield,G,2.33%,25.5,,,,,,,,,,,,,,
49,5209768638,kfalik,334,180,G Cameron Young G Justin Thomas G Jordan Spieth G Doug Ghim G Pierceson Coody G Beau Hossler,,Sepp Straka,G,2.19%,5,,,,,,,,,,,,,,
49,5208288772,TheSleeper80,324,180,G Cameron Young G Davis Thompson G Mac Meissner G Sungjae Im G Billy Horschel G Matti Schmid,,Nicolas Echavarria,G,2.16%,9.5,,,,,,,,,,,,,,
51,5209529954,foofighters1977,347,179.5,G Cameron Young G Ben Griffin G Alex Noren G Doug Ghim G Jordan L. Smith G Sahith Theegala,,Lucas Glover,G,1.95%,12,,,,,,,,,,,,,,
51,5209227823,Scruffy2,328,179.5,G Cameron Young G Alex Fitzpatrick G Doug Ghim G Sungjae Im G Ben Kohles G Bud Cauley,,Rasmus Neergaard-Petersen,G,1.75%,14.5,,,,,,,,,,,,,,
53,5208950830,ineedabook,334,179,G Ryan Gerard G Tom Kim G Mac Meissner G Doug Ghim G Ben Kohles G Jordan L. Smith,,Johnny Keefer,G,1.52%,10.5,,,,,,,,,,,,,,
54,5209322776,mtaranto,345,178,G Jackson Koivun G Hideki Matsuyama G Justin Thomas G Denny McCarthy G Beau Hossler G Seamus Power,,Marco Penge,G,1.43%,9.5,,,,,,,,,,,,,,
54,5207380769,HanzoSteel,330,178,G Cameron Young G Tom Kim G Brian Harman G Ben Kohles G Christiaan Bezuidenhout G Beau Hossler,,Beau Hossler,G,1.34%,70,,,,,,,,,,,,,,
54,5209578470,Earth2020,328,178,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Jordan L. Smith G Bud Cauley,,Luke Clanton,G,1.28%,16.5,,,,,,,,,,,,,,
54,5209323456,DaChiliDog,324,178,G Cameron Young G Tom Kim G Davis Thompson G Ben Kohles G Jackson Suber G Kevin Yu,,Joel Dahmen,G,1.25%,9,,,,,,,,,,,,,,
58,5209562094,Benay,349,177.5,G Tom Kim G Ben Griffin G Davis Thompson G Brian Harman G Doug Ghim G Emiliano Grillo,,Lee Hodges,G,1.22%,23,,,,,,,,,,,,,,
58,5207740444,bcferris88,341,177.5,G Hideki Matsuyama G Ben Griffin G Davis Thompson G Doug Ghim G Ben Kohles G Christiaan Bezuidenhout,,Andrew Putnam,G,1.19%,13,,,,,,,,,,,,,,
58,5209330217,jpadam555,339,177.5,G Justin Thomas G Tom Kim G Davis Thompson G Brian Harman G Benjamin James G Zac Blair,,Stephan Jaeger,G,1.19%,11.5,,,,,,,,,,,,,,
58,5207589862,SkipHits21,335,177.5,G Cameron Young G Ben Griffin G Doug Ghim G Sungjae Im G Jordan L. Smith G Bud Cauley,,Kevin Yu,G,1.11%,32.5,,,,,,,,,,,,,,
58,5209803647,davidmarchorn,335,177.5,G Cameron Young G Ben Griffin G Doug Ghim G Sungjae Im G Jordan L. Smith G Bud Cauley,,Rico Hoey,G,1.05%,30.5,,,,,,,,,,,,,,
58,5209692526,JMarz83,330,177.5,G Hideki Matsuyama G Justin Thomas G Davis Thompson G Sungjae Im G Ben Kohles G Billy Horschel,,Kevin Roy,G,1.05%,16.5,,,,,,,,,,,,,,
64,5208075486,2briar,339,177,G Hideki Matsuyama G Aaron Rai G Alex Fitzpatrick G Davis Thompson G Benjamin James G Ricky Castillo,,Brandt Snedeker,G,1.05%,23,,,,,,,,,,,,,,
64,5209091255,df6525,338,177,G Cameron Young G Davis Thompson G Doug Ghim G Blades Brown G Ben Kohles G Jordan L. Smith,,Tony Finau,G,1.05%,13,,,,,,,,,,,,,,
64,5208165317,aschell0512,335,177,G Justin Thomas G Tom Kim G Michael Brennan G Sungjae Im G Michael Kim G Sahith Theegala,,Patrick Fishburn,G,1.02%,1.5,,,,,,,,,,,,,,
67,5209860490,rolya1234,350,176.5,G Hideki Matsuyama G Ben Griffin G Aaron Rai G Doug Ghim G Bud Cauley G Benjamin James,,John Parry,G,0.93%,27,,,,,,,,,,,,,,
67,5208945830,Magilla44,345,176.5,G Cameron Young G Justin Thomas G Jordan Spieth G Bud Cauley G Benjamin James G Sahith Theegala,,William Mouw,G,0.85%,13.5,,,,,,,,,,,,,,
67,5207210108,KingDoug2020,336,176.5,G Hideki Matsuyama G Tom Kim G Alex Fitzpatrick G Mac Meissner G Sahith Theegala G Jackson Suber,,Max Greyserman,G,0.79%,17,,,,,,,,,,,,,,
