Player Name,Slate-Tournament,Headshot,Player ID,Draftable ID,Tournament,Game Start Time,Salary,Fantasy Points,Ownership,Made Cut,MC,Win,Top 5,Top 10,Top 20,Teetime,Course
Sahith Theegala,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/451906.png,404847,43352234,Travelers Championship,6/25/2026,7700,78.01,0,0,0,6208.9 (0.02),1237.5 (0.07),520.0 (0.16),207.6 (0.33),,
Alex Fitzpatrick,Classic: Travelers Championship,https://dkn.gs/sports/images/countries/50/england.png,690047,43352235,Travelers Championship,6/25/2026,7700,76.95,0,0,0,5346.9 (0.02),959.2 (0.09),426.7 (0.19),169.4 (0.37),,
Louis Oosthuizen,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/918.png,584,43204202,LIV Golf Andalucia,6/4/2026,7700,19.9,0,0.5,0.5,,,,,,
Jordan Spieth,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/882.png,171,43352236,Travelers Championship,6/25/2026,7600,77.58,0,0,0,5443.0 (0.02),1075.0 (0.09),460.0 (0.18),178.8 (0.36),,
Gary Woodland,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/689.png,1055,43352237,Travelers Championship,6/25/2026,7600,77.28,0,0,0,6154.9 (0.02),1100.0 (0.08),483.3 (0.17),194.6 (0.34),,
Caleb Surratt,Classic: LIV,https://dkn.gs/sports/images/countries/50/united_states.png,768996,43204203,LIV Golf Andalucia,6/4/2026,7600,19.7,0,0.5,0.5,,,,,,
Adam Scott,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/875.png,2078,43352238,Travelers Championship,6/25/2026,7500,77.73,0,0,0,6485.8 (0.02),1104.2 (0.08),498.3 (0.17),198.6 (0.33),,
J.T. Poston,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/1165.png,300174,43352239,Travelers Championship,6/25/2026,7500,79.25,0,0,0,5985.4 (0.02),1070.8 (0.09),450.0 (0.18),173.4 (0.37),,
Matthew Wolff,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/802.png,693781,43204204,LIV Golf Andalucia,6/4/2026,7500,19.5,0,0.5,0.5,,,,,,
Richard T. Lee,Classic: LIV,https://dkn.gs/sports/images/countries/50/canada.png,165,43204205,LIV Golf Andalucia,6/4/2026,7500,19.5,0,0.5,0.5,,,,,,
Akshay Bhatia,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/952.png,694628,43352240,Travelers Championship,6/25/2026,7400,78.02,0,0,0,6197.1 (0.02),1275.8 (0.07),530.0 (0.16),209.0 (0.32),,
Shane Lowry,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/1052.png,395,43352241,Travelers Championship,6/25/2026,7400,77.53,0,0,0,6208.3 (0.02),1129.2 (0.08),491.7 (0.17),194.4 (0.34),,
Laurie Canter,Classic: LIV,https://dkn.gs/sports/images/countries/50/england.png,834,43204206,LIV Golf Andalucia,6/4/2026,7400,19.3,0,0.5,0.5,,,,,,
Brendan Steele,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/566.png,549,43204207,LIV Golf Andalucia,6/4/2026,7400,19.3,0,0.5,0.5,,,,,,
Jake Knapp,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/1050.png,1894,43352242,Travelers Championship,6/25/2026,7300,77.63,0,0,0,6508.8 (0.02),1254.2 (0.07),521.7 (0.16),221.2 (0.31),,
Hideki Matsuyama,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/1130.png,1931,43352243,Travelers Championship,6/25/2026,7300,78.8,0,0,0,7220.2 (0.01),1425.0 (0.07),594.2 (0.14),235.0 (0.30),,
Younghan Song,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/450447.png,329,43204208,LIV Golf Andalucia,6/4/2026,7300,19.1,0,0.5,0.5,,,,,,
Byeong Hun An,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/639.png,1062,43204209,LIV Golf Andalucia,6/4/2026,7300,19.1,0,0.5,0.5,,,,,,
Kristoffer Reitan,Classic: Travelers Championship,https://dkn.gs/sports/images/countries/50/norway.png,671051,43352244,Travelers Championship,6/25/2026,7200,79.66,0,0,0,6377.7 (0.02),1216.7 (0.08),510.8 (0.16),205.0 (0.33),,
Jacob Bridgeman,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/640848.png,764548,43352245,Travelers Championship,6/25/2026,7200,79.6,0,0,0,7635.5 (0.01),1400.0 (0.07),582.5 (0.15),222.0 (0.31),,
Harold Varner III,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/624.png,190,43204210,LIV Golf Andalucia,6/4/2026,7200,18.9,0,0.5,0.5,,,,,,
Cameron Tringale,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/622.png,1449,43204211,LIV Golf Andalucia,6/4/2026,7200,18.9,0,0.5,0.5,,,,,,
Nicolai Hojgaard,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/60190.png,600531,43352246,Travelers Championship,6/25/2026,7100,76.52,0,0,0,8774.7 (0.01),1641.7 (0.06),655.0 (0.13),267.0 (0.27),,
Sam Stevens,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/564993.png,720888,43352247,Travelers Championship,6/25/2026,7100,76.76,0,0,0,8670.6 (0.01),1475.0 (0.06),658.3 (0.13),265.0 (0.27),,
Anthony Kim,Classic: LIV,https://dkn.gs/sports/images/countries/50/united_states.png,1119,43204212,LIV Golf Andalucia,6/4/2026,7100,18.7,0,0.5,0.5,,,,,,
Doyeob Mun,Classic: LIV,https://dkn.gs/sports/images/countries/50/south_korea.png,692221,43204213,LIV Golf Andalucia,6/4/2026,7100,18.7,0,0.5,0.5,,,,,,
Bud Cauley,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/549.png,1673,43352248,Travelers Championship,6/25/2026,7000,76.33,0,0,0,6708.2 (0.01),1141.7 (0.08),496.7 (0.17),190.2 (0.34),,
Ryan Gerard,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/645035.png,765444,43352249,Travelers Championship,6/25/2026,7000,76.14,0,0,0,7200.9 (0.01),1379.2 (0.07),583.3 (0.15),224.0 (0.31),,
