Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
2225,5196094950,Gore49er,324,142,G Tom Kim G Gary Woodland G Corey Conners G Max Homa G Taylor Pendrith G Keita Nakajima,,,,,
2225,5196574602,PurplePain42,324,142,G Scottie Scheffler G John Parry G Rico Hoey G Austin Smotherman G Zac Blair G Takumi Kanaya,,,,,
2225,5196646662,rdoby4,324,142,G Hideki Matsuyama G Pierceson Coody G Doug Ghim G Max Greyserman G Emiliano Grillo G Adrien Dumont De Chassart,,,,,
2225,5196662652,bennyblazen,324,142,G Jake Knapp G Tom Kim G Pierceson Coody G Sam Stevens G Jesper Svensson G Cameron Champ,,,,,
2225,5196694366,DraftKingsEAD,324,142,G Maverick McNealy G Tom Kim G Mac Meissner G Benjamin James G Casey Jarvis G Ben Kohles,,,,,
2225,5196703414,millermdm,324,142,G Scottie Scheffler G Michael Kim G Jesper Svensson G Max McGreevy G Chris Kirk G Aaron Wise,,,,,
2225,5196725837,klepter14,324,142,G Kurt Kitayama G Tom Kim G Benjamin James G Johnny Keefer G Ricky Castillo G Emiliano Grillo,,,,,
2225,5196734189,bradjbaker6000,324,142,G Scottie Scheffler G Stephan Jaeger G Mackenzie Hughes G Matti Schmid G David Skinns G Chandler Phillips,,,,,
2225,5196757819,haydensiegel555,324,142,G Maverick McNealy G Jackson Suber G Mac Meissner G Benjamin James G Johnny Keefer G Ben Kohles,,,,,
2225,5196820070,mcoates44,324,142,G Kurt Kitayama G Jackson Koivun G Doug Ghim G Sungjae Im G Zac Blair G Aaron Wise,,,,,
2225,5196820941,lynn49,324,142,G Kurt Kitayama G Jackson Suber G Gary Woodland G Sungjae Im G Stephan Jaeger G Adam Hadwin,,,,,
2225,5196841090,Briangal1,324,142,G Hideki Matsuyama G Doug Ghim G Max Homa G Mac Meissner G Casey Jarvis G Ben Kohles,,,,,
2225,5196853019,kyzzyl,324,142,G Jackson Koivun G Jackson Suber G Corey Conners G Sam Stevens G Johnny Keefer G Austin Smotherman,,,,,
2225,5196856616,tbaum2389,324,142,G Tom Kim G Doug Ghim G Corey Conners G Christiaan Bezuidenhout G William Mouw G Emiliano Grillo,,,,,
2253,5194716394,ckerby59,324,141.5,G Scottie Scheffler G Sungjae Im G Zac Blair G Tom Hoge G Joel Dahmen G Davis Chatfield,,,,,
2253,5195024294,mgentile417,324,141.5,G Scottie Scheffler G Johnny Keefer G Aldrich Potgieter G Lucas Glover G Aaron Wise G Brian Campbell,,,,,
