Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
90,5195402404,jsh1122 (146/150),324,241,G Scottie Scheffler G Ben Kohles G Rico Hoey G Lucas Glover G Kevin Roy G David Lipsky,,Adrien Dumont De Chassart,G,0.78%,16.5
90,5196196194,TERRYBECK (15/150),324,241,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Zac Blair,,Ryder Cowan,G,0.77%,12
90,5196802447,kushman999 (6/6),324,241,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Zac Blair,,Ben Silverman,G,0.76%,19.5
95,5194700953,jrevelle3 (142/150),324,240.5,G Maverick McNealy G Jackson Koivun G Gary Woodland G Michael Brennan G Ben Kohles G Andrew Putnam,,Patrick Fishburn,G,0.74%,18
95,5196706159,SICKHEMI (149/150),324,240.5,G Keith Mitchell G Jackson Koivun G Gary Woodland G Michael Brennan G Aldrich Potgieter G Ben Kohles,,Trace Crowe,G,0.71%,30
97,5195634319,msg365 (13/150),324,240,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Jesper Svensson G Zac Blair G Cameron Davis,,Neal Shipley,G,0.67%,16.5
97,5196332497,oldschool24 (30/50),324,240,G Scottie Scheffler G Rasmus Neergaard-Petersen G Ben Kohles G Lucas Glover G Tom Hoge G Troy Merritt,,Garrick Higgo,G,0.66%,10
97,5196465230,bones_15 (74/150),324,240,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Zac Blair G Paul Peterson,,Hayden Springer,G,0.65%,18
97,5196541535,Kdaug7 (2/5),324,240,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Pontus Nyholm G Aaron Wise,,Will Gordon,G,0.64%,28.5
101,5195573356,shane1972,324,239.5,G Kurt Kitayama G Jackson Suber G Gary Woodland G Christiaan Bezuidenhout G Emiliano Grillo G Ben Kohles,,Adam Hadwin,G,0.64%,16.5
101,5195933570,SweetMayo1928 (15/150),324,239.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G A.J. Ewart G Fabián Gómez,,Chad Ramey,G,0.62%,13
101,5196216166,nagasai (95/150),324,239.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Zac Blair G Luke List,,Joe Highsmith,G,0.61%,15
101,5196558588,thankyoufordonations (80/150),324,239.5,G Kurt Kitayama G Keith Mitchell G Jackson Koivun G Emiliano Grillo G Ben Kohles G Zac Blair,,Matthieu Pavon,G,0.61%,16
101,5196706127,SICKHEMI (117/150),324,239.5,G Scottie Scheffler G Michael Brennan G Ben Kohles G Austin Eckroat G Kevin Roy G Davis Chatfield,,Jeremy Paul,G,0.58%,8.5
106,5195017509,dbsultan (3/34),324,239,G Jackson Koivun G Jackson Suber G Gary Woodland G Christiaan Bezuidenhout G Michael Brennan G Emiliano Grillo,,Nick Hardy,G,0.55%,13.5
106,5195416534,BigFatPianist (57/150),324,239,G Kurt Kitayama G Jackson Koivun G Jackson Suber G Emiliano Grillo G Jesper Svensson G Lucas Glover,,Gordon Sargent,G,0.54%,15
106,5196014879,piezo (142/150),324,239,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G A.J. Ewart G Tyler Duncan,,Luke Clanton,G,0.52%,11
109,5194977584,atrammell3 (9/27),324,238.5,G Scottie Scheffler G John Parry G Emiliano Grillo G Ben Kohles G Kevin Roy G Joe Highsmith,,Luke List,G,0.51%,12.5
109,5195028141,ELCAPITAN503 (5/22),324,238.5,G Scottie Scheffler G Rasmus Neergaard-Petersen G Ben Kohles G Lucas Glover G Zac Blair G Troy Merritt,,Davis Riley,G,0.49%,6.5
109,5196234962,matt80 (48/150),324,238.5,G Keith Mitchell G Jackson Koivun G Gary Woodland G Ben Kohles G Lee Hodges G Rico Hoey,,Nick Dunlap,G,0.46%,13.5
109,5196676915,Cookoo (33/150),324,238.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G A.J. Ewart,,Kevin Streelman,G,0.45%,31
113,5195249999,lbullard64 (22/148),324,238,G Scottie Scheffler G Michael Brennan G Ben Kohles G Zecheng Dou G Kevin Roy G Peter Malnati,,Harry Higgs,G,0.44%,24
113,5195879833,JONESZY9 (109/130),324,238,G Scottie Scheffler G Kevin Yu G Ben Kohles G Lucas Glover G Kevin Roy G Davis Chatfield,,Vince Whaley,G,0.41%,30.5
113,5196803772,Nycsourdiesel (6/10),324,238,G Kurt Kitayama G Jackson Koivun G Sam Stevens G Christiaan Bezuidenhout G Emiliano Grillo G Ben Kohles,,Dylan Wu,G,0.39%,7.5
116,5195316616,esposij3 (107/150),324,237.5,G Tom Kim G Jackson Koivun G Jackson Suber G Emiliano Grillo G Ben Kohles G Lee Hodges,,Chandler Blanchet,G,0.35%,30.5
116,5196318248,Doublejay01 (52/110),324,237.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Zac Blair G Brice Garnett,,Brannon Fahrny,G,0.33%,14
