HOLE-BY-HOLE DETAIL,,,,,,,,,
"Event: TOUR Championship (401811964) | Success: 30 | Failed: 0 | Updated: 8/31/2026, 6:13:47 AM",,,,,,,,,
,,,,,,,,,
Player,Player ID,Round,Hole,Par,Strokes,Score Type,To Par,Round Score,Round To Par
Collin Morikawa,10592,3,3,4,4,Par,E,72,+2
Collin Morikawa,10592,3,4,4,4,Par,E,72,+2
Collin Morikawa,10592,3,5,4,5,Bogey,+1,72,+2
Collin Morikawa,10592,3,6,5,4,Birdie,-1,72,+2
Collin Morikawa,10592,3,7,4,4,Par,E,72,+2
Collin Morikawa,10592,3,8,4,3,Birdie,-1,72,+2
Collin Morikawa,10592,3,9,3,4,Bogey,+1,72,+2
Collin Morikawa,10592,3,10,4,4,Par,E,72,+2
Collin Morikawa,10592,3,11,3,3,Par,E,72,+2
Collin Morikawa,10592,3,12,4,3,Birdie,-1,72,+2
Collin Morikawa,10592,3,13,4,4,Par,E,72,+2
Collin Morikawa,10592,3,14,4,5,Bogey,+1,72,+2
Collin Morikawa,10592,3,15,3,5,Double Bogey,+2,72,+2
Collin Morikawa,10592,3,16,4,4,Par,E,72,+2
Collin Morikawa,10592,3,17,4,4,Par,E,72,+2
Collin Morikawa,10592,3,18,5,5,Par,E,72,+2
Collin Morikawa,10592,4,1,4,4,Par,E,68,-2
Collin Morikawa,10592,4,2,3,3,Par,E,68,-2
Collin Morikawa,10592,4,3,4,4,Par,E,68,-2
Collin Morikawa,10592,4,4,4,4,Par,E,68,-2
Collin Morikawa,10592,4,5,4,4,Par,E,68,-2
Collin Morikawa,10592,4,6,5,4,Birdie,-1,68,-2
Collin Morikawa,10592,4,7,4,5,Bogey,+1,68,-2
Collin Morikawa,10592,4,8,4,3,Birdie,-1,68,-2
Collin Morikawa,10592,4,9,3,4,Bogey,+1,68,-2
Collin Morikawa,10592,4,10,4,4,Par,E,68,-2
Collin Morikawa,10592,4,11,3,2,Birdie,-1,68,-2
Collin Morikawa,10592,4,12,4,3,Birdie,-1,68,-2
